player_id,name,age,position,nationality,club,market_value,goals,assists,minutes_played,contract_years_left,market_value_num,goals_per_90,assists_per_90,target,pos_bucket,club_med_mv,club_rank_pct
2348,Player_2347,29,LM,Portugal,Club_147,€2M,5,2,3670,0,2000000.0,0.12261580381471389,0.049046321525885554,14.508658238524093,Other,1000000.0,0.6926
3440,Player_3439,26,LM,Belgium,Club_39,€727K,0,0,964,5,727000.0,0.0,0.0,13.496683132030528,Other,1000000.0,0.6926
4999,Player_4998,17,CAM,Netherlands,Club_198,€1M,0,0,1689,2,1000000.0,0.0,0.0,13.815511557963774,Midfielder,1000000.0,0.6926
4827,Player_4826,35,LB,Italy,Club_26,€689K,1,1,421,3,689000.0,0.21377672209026127,0.21377672209026127,13.442998001373551,Defender,1000000.0,0.6926
3923,Player_3922,18,RW,Germany,Club_122,€1M,2,2,2897,1,1000000.0,0.06213324128408698,0.06213324128408698,13.815511557963774,Forward,1000000.0,0.6926
299,Player_298,18,RW,Netherlands,Club_98,€1M,1,0,1503,3,1000000.0,0.059880239520958084,0.0,13.815511557963774,Forward,1000000.0,0.6926
2120,Player_2119,17,LM,Belgium,Club_119,€1M,4,4,3134,4,1000000.0,0.1148691767708998,0.1148691767708998,13.815511557963774,Other,1000000.0,0.6926
2537,Player_2536,25,CDM,Italy,Club_136,€548K,1,0,1101,1,548000.0,0.08174386920980926,0.0,13.214032390746006,Midfielder,845000.0,0.1901
4204,Player_4203,18,RB,France,Club_3,€630K,0,0,797,5,630000.0,0.0,0.0,13.353476685668042,Defender,1000000.0,0.6926
3255,Player_3254,34,LB,Brazil,Club_54,€466K,1,1,2333,5,466000.0,0.03857693956279469,0.03857693956279469,13.051943059028227,Defender,914000.0,0.2676
3726,Player_3725,29,CM,Argentina,Club_125,€798K,1,0,2275,1,798000.0,0.03956043956043956,0.0,13.589865129563993,Midfielder,951000.0,0.3276
1261,Player_1260,28,GK,England,Club_60,€404K,2,0,918,1,404000.0,0.19607843137254904,0.0,12.909172632187747,Goalkeeper,752000.0,0.0726
1559,Player_1558,16,RW,Netherlands,Club_158,€2M,0,1,556,1,2000000.0,0.0,0.1618705035971223,14.508658238524093,Forward,1000000.0,0.6926
3270,Player_3269,18,CM,Belgium,Club_69,€1M,2,0,2235,3,1000000.0,0.08053691275167786,0.0,13.815511557963774,Midfielder,1000000.0,0.6926
4047,Player_4046,29,LB,Italy,Club_46,€623K,0,1,1214,1,623000.0,0.0,0.07413509060955518,13.342303402904738,Defender,1000000.0,0.6926
757,Player_756,22,GK,Italy,Club_156,€654K,0,0,434,5,654000.0,0.0,0.0,13.390864159490153,Goalkeeper,878000.0,0.2276
1011,Player_1010,16,LB,England,Club_10,€625K,0,1,913,2,625000.0,0.0,0.09857612267250822,13.345508528717257,Defender,1000000.0,0.6926
2795,Player_2794,17,RW,Brazil,Club_194,€855K,0,1,3114,3,855000.0,0.0,0.028901734104046242,13.658857917508856,Forward,1000000.0,0.6926
2906,Player_2905,17,CB,Argentina,Club_105,€424K,0,0,613,1,424000.0,0.0,0.0,12.95749109270188,Defender,1000000.0,0.6926
1871,Player_1870,28,RW,England,Club_70,€1M,2,1,3514,0,1000000.0,0.05122367672168469,0.025611838360842343,13.815511557963774,Forward,1000000.0,0.6926
2230,Player_2229,35,LW,Belgium,Club_29,€757K,0,0,867,4,757000.0,0.0,0.0,13.537119853422675,Forward,1000000.0,0.6926
1174,Player_1173,34,LW,France,Club_173,€1M,0,0,938,4,1000000.0,0.0,0.0,13.815511557963774,Forward,1000000.0,0.6926
1833,Player_1832,23,RM,Germany,Club_32,€1M,0,0,1329,2,1000000.0,0.0,0.0,13.815511557963774,Other,676000.0,0.0176
377,Player_376,20,CDM,Italy,Club_176,€474K,0,0,1539,0,474000.0,0.0,0.0,13.068964710379628,Midfielder,872000.0,0.2201
3854,Player_3853,31,CB,France,Club_53,€552K,1,0,934,4,552000.0,0.09635974304068522,0.0,13.221305136851793,Defender,1000000.0,0.6926
3617,Player_3616,25,CDM,Italy,Club_16,€729K,0,0,550,0,729000.0,0.0,0.0,13.499430382731965,Midfielder,729000.0,0.0426
799,Player_798,21,CAM,Netherlands,Club_198,€1M,0,0,770,4,1000000.0,0.0,0.0,13.815511557963774,Midfielder,1000000.0,0.6926
379,Player_378,27,CAM,Netherlands,Club_178,€1M,0,0,643,0,1000000.0,0.0,0.0,13.815511557963774,Midfielder,1000000.0,0.6926
1159,Player_1158,26,CAM,Netherlands,Club_158,€1M,2,1,3672,3,1000000.0,0.04901960784313726,0.02450980392156863,13.815511557963774,Midfielder,1000000.0,0.6926
3820,Player_3819,28,RB,Belgium,Club_19,€684K,1,0,3435,0,684000.0,0.026200873362445417,0.0,13.435714658591923,Defender,1000000.0,0.6926
2793,Player_2792,27,RM,Germany,Club_192,€1M,2,0,2944,2,1000000.0,0.061141304347826095,0.0,13.815511557963774,Other,766000.0,0.0951
2241,Player_2240,21,RM,England,Club_40,€733K,2,0,545,2,733000.0,0.3302752293577982,0.0,13.504902345124338,Other,735000.0,0.0626
4036,Player_4035,26,RB,Argentina,Club_35,€627K,2,2,1613,3,627000.0,0.1115933044017359,0.1115933044017359,13.348703414510117,Defender,984000.0,0.3576
2663,Player_2662,35,RW,Germany,Club_62,€850K,0,0,2488,2,850000.0,0.0,0.0,13.652992804936394,Forward,1000000.0,0.6926
4013,Player_4012,16,CDM,Germany,Club_12,€534K,0,0,2427,4,534000.0,0.0,0.0,13.188152990599754,Midfielder,815000.0,0.1476
2958,Player_2957,26,CM,Portugal,Club_157,€854K,2,0,825,1,854000.0,0.2181818181818182,0.0,13.657687643730208,Midfielder,1000000.0,0.6926
